data_sources,match_number,match_id,kickoff,kickoff_comparison,is_home,team,opponent,opponent_comparison,opponent_short,host,host_comparison,location,result_summary,player_name,jersey_number,total_points,break_points,plus_minus,serves_attempts,serves_errors,serves_points,receptions_attempts,receptions_errors,receptions_positive,receptions_perfect,receptions_positive_pct,receptions_perfect_pct,attacks_attempts,attacks_errors,attacks_blocked,attacks_points,attacks_success_pct,blocks_points,stats_url,csv_path
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Celine Jebens,1,24,5,18,14,2,1,0,0,0,0,0.0,0.0,38,2,2,21,0.55,2,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Corina Glaab,5,3,3,0,24,3,3,0,0,0,0,0.0,0.0,2,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Hanna Freiynfeldova,13,0,0,-2,0,0,0,0,0,0,0,0.0,0.0,3,1,1,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Kacey Jost,17,0,0,-2,0,0,0,30,2,17,7,0.57,0.23,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Karmena Struka,16,4,3,1,6,1,1,0,0,0,0,0.0,0.0,7,2,0,0,0.0,3,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Lea Ambrosius,18,13,3,6,12,2,1,2,1,0,0,0.0,0.0,16,2,2,7,0.44,5,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Marit Zander,3,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Milica Miljkovic,14,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Sindi Mico,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Sophia Fallah,15,5,1,3,8,2,0,0,0,0,0,0.0,0.0,6,0,0,5,0.83,0,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Tsvetelina Ilieva,11,20,10,6,15,5,1,47,4,14,4,0.3,0.09,39,2,3,19,0.49,0,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,True,Ladies in Black Aachen,VC Wiesbaden,PDF: VC Wiesbaden,Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),3:2 / 108:109 (24:26 25:23 19:25 25:23 15:12),Zoi Mavrommatis,8,12,6,1,22,2,2,19,2,7,3,0.37,0.16,45,2,5,9,0.2,1,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
pdf,2004,777479952,2025-10-11T17:15:00+02:00,PDF: 11.10.2025,False,VC Wiesbaden,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Aachen,Ladies in Black Aachen,PDF: Ladies in Black Aachen,Neuköllner Straße (52068 Aachen),2:3 / 109:108 (26:24 23:25 25:19 23:25 12:15),Cayetana López Rey,2,8,2,-3,12,0,0,25,4,5,3,0.2,0.12,24,3,4,7,0.29,1,https://www.volleyball-bundesliga.de/uploads/70911979-1c77-4379-a3c6-2307f6da95f7,
